id_contrato_a,id_propiedad,id_arrendatario,id_codeudor,fecha_inicio_contrato_a,fecha_fin_contrato_a,duracion_contrato_a,canon_arrendamiento,deposito,estado_contrato_a,motivo_cancelacion,fecha_renovacion_contrato_a,fecha_incremento_ipc,fecha_ultimo_incremento_ipc,created_at,created_by,updated_at,updated_by,alerta_vencimiento_contrato_a,alerta_ipc,fecha_pago,grupo_operativo
126,100097,116,,2024-01-01,2025-12-31,12,10000000,0,Activo,,2026-05-24,,,2026-05-25 02:01:03.641907+00,test_script,2026-05-24T21:01:04.412096,test_runner,True,True,10,0
66,100017,62,46,2025-08-04,2026-08-04,12,1350000,700000,Activo,,,,,2026-03-07 20:38:18.555266+00,admin,2026-03-07T20:39:08.051375,admin,True,True,10,0
67,100023,63,47,2024-09-17,2026-09-17,24,1157000,800000,Activo,,,,,2026-03-07 21:02:21.699251+00,admin,2026-03-07T21:03:41.218336,admin,True,True,20,0
68,13,64,48,2025-08-06,2026-08-06,12,1200000,600000,Activo,,,,,2026-03-07 21:19:43.91277+00,admin,2026-03-07T21:20:05.415626,admin,True,True,10,0
57,100019,54,38,2025-05-08,2026-05-16,12,773956,368200,Cancelado,Cancelación manual desde interfaz,2026-05-02,,,2026-03-06 18:13:48.705105+00,admin,2026-05-16T19:35:12.834479,admin,True,True,08,0
34,11,28,12,2025-12-17,2026-12-17,12,1100000,600000,Activo,,,,,2026-02-25 22:37:24.958625+00,admin,2026-02-25 22:37:24.958625+00,admin,True,True,20,0
35,39,29,13,2025-10-23,2026-10-23,12,700000,350000,Activo,,,,,2026-02-25 23:44:25.103494+00,admin,2026-02-25 23:44:25.103494+00,admin,True,True,30,0
38,34,32,16,2025-11-22,2026-11-22,12,840000,420000,Activo,,,,,2026-02-26 14:31:34.724034+00,admin,2026-02-26T14:32:01.407656,admin,True,True,30,0
56,5,53,37,2025-11-20,2026-11-20,12,1000000,500000,Activo,,2026-05-20,,,2026-03-06 16:07:36.983032+00,admin,2026-05-20T12:57:24.103895,admin,True,True,20,0
41,100039,35,19,2024-12-16,2026-12-16,24,1578000,700000,Activo,,,,,2026-02-27 02:25:34.831286+00,admin,2026-02-27T02:28:20.014032,admin,True,True,20,0
52,17,46,30,2025-06-21,2026-06-21,12,650000,350000,Activo,,,,,2026-03-04 03:31:08.781864+00,admin,2026-03-04T03:31:44.450235,admin,True,True,30,0
32,14,27,11,2024-10-01,2026-10-01,25,684000,300000,Activo,,,,,2026-02-25 21:30:50.839027+00,admin,2026-02-25T21:33:45.576832,test_trigger,True,True,10,0
48,8,42,26,2024-01-11,2026-07-11,30,715400,200000,Activo,,,,,2026-03-04 01:19:02.575094+00,admin,2026-03-04T01:20:33.921331,admin,True,True,20,0
