DEBUG [database.py]: Final DB_MODE: postgresql
ID    | Address                                  | Active Mandate? | ELIGIBLE for New Mandate?
----------------------------------------------------------------------------------------------------
21    | CJT MARIA CRISTINA ET 2 TO 1 AP 403      | True            | NO                       
22    | CJT RES OVIEDO TO 1 AP 1210              | False           | YES                      
4     | CL 2 CR 8-45 ET A MZ 1 CS A18, CJT AMURA | False           | YES                      
8     | CJT RES ABEDULES TO 1 AP 805             | False           | YES                      
9     | CJT ABEDULES TO 2 AP 403                 | False           | YES                      
12    | BRR LONDONO MZ C LT 16                   | False           | YES                      
15    | CR 5 CL 13-29                            | False           | YES                      
13    | CL 22N CR 19-170 TO 6 AP 401, CJT BOSQUE | True            | NO                       
17    | BRR CIUDADELA LA PATRIA MZ 23 CS 22      | False           | YES                      
3     | CL 49 CR 56-65 ET 2 TO 5 AP 502, VERDU I | False           | YES                      
23    | CR 19 CL 32N-11 CS 31,CJT RES BOSQUES DE | False           | YES                      
25    | EDF LA PATRIA AP 301                     | True            | NO                       
28    | CJT ENTRE LOMAS TO 3 AP 404              | True            | NO                       
30    | BRR LA ADIELA MZ 9 CS 1 PI 2             | False           | YES                      
33    | BRR LA PATRIA AP 201                     | True            | NO                       
18    | CR 17 CL 59-75, CIUDADELA MONTECARLO GIR | False           | YES                      
20    | CR 6 CL 03-40 CS 54 , CJT LA ALQUERIA    | True            | NO                       
6     | CR 13 CL 22N-18 AP 204, EDF ESTOCOLMO    | False           | YES                      
31    | BRR LA GRECIA                            | False           | YES                      
11    | CR 23E CL 42-5 AP 1303, EDF ALAMOS 23    | True            | NO                       
19    | CJT RES CERROS DEL VIENTO TO O AP 201    | True            | NO                       
7     | DIRECC                                   | False           | YES                      
29    | EDF GRANADA REAL AP 308                  | True            | NO                       
24    |  EDF LA FORET AP 603, BRR LA CASTELLANA  | True            | NO                       
26    | EDF LA PATRIA AP 101                     | True            | NO                       
27    | EDF LA PATRIA AP 402                     | True            | NO                       
10    | CR 23E CL 42-15 AP 605, EDF ALAMOS 23    | True            | NO                       
32    | EDF LA PATRIA AP 401                     | True            | NO                       
39    | CL 35 CR 33-09 BQ 2 AP 201, BRR VILLA AN | True            | NO                       
14    | BRR CASA BLANCA MZ A CS 14 PI 2          | True            | NO                       
100029 | BRR GIRASOLES MZ Z CS 23A                | True            | NO                       
34    | CL 46 CR 44-94 ET 2 MZ 1, BRR MANANTIALE | True            | NO                       
38    | BRR ROJAS PINILLA ET 1 MZ 2 CS 28        | True            | NO                       
16    | CJT RES CERROS DEL VIENTO TO F AP 304    | True            | NO                       
36    | CR 20 CL 3N-00 ET 3 TO 6 AP 404, CJT PQ  | False           | YES                      
100026 | CL 30 CR 13-20 PI 1, BRR URIBE           | False           | YES                      
100027 | BRR CAÑAS GORDAS MZ 10 CS 4              | True            | NO                       
100011 | CJT RESERVAS AGUA BONITA TO ALCALA AP 50 | True            | NO                       
100012 | CL 22 CR 34-60 LC PI 1, BRR LAS AMERICAS | True            | NO                       
100014 | CL 58 CR 48-39 TO 15 AP 201, CJT CER ZAZ | True            | NO                       
100022 | BRR VILLA LILIANA MZ LL CS 327 PI 1      | True            | NO                       
100015 | BRR BOSQUES DE PINARES MZ 4 CS 144 PI 1  | True            | NO                       
100016 | BRR BOSQUES DE PINARES MZ 4 CS 144 PI 2  | True            | NO                       
100017 | CR 19 CL 11N-33 ET 1 BQ 1 AP 302, CJT RE | True            | NO                       
5     | CJT EL CAMINO DE COCORA MZ 1 BQ 6 CS 5 V | True            | NO                       
100018 | CJT RES CAMINO DEL PUERTO TO 7 APTO 401  | True            | NO                       
100019 | CR 54 CL 30-35 AP 807, BRR QUINTAS DE LA | True            | NO                       
100020 | BRR VILLA CAROLINA ET 1 MZ Ñ CS 16 PI 1  | True            | NO                       
100021 | CR 40 CL 42-18 PI 2 AP 201, BRR VILLA LI | True            | NO                       
100023 | CL 50 CR 55-01 ET 7 TO 1 PI 14 AP 1402,  | True            | NO                       
100024 | CL 50 CR 55-01 ET 7 TO 1 PI 14 AP 1402 P | False           | YES                      
100025 | CL 50 CR 55-01 ET 3 PI 4 AP 402, CJT RES | True            | NO                       
100028 | CL 4N CR 24A-27 T 2 AP 1104, CJT CERROS  | True            | NO                       
35    | CR 20 CL 3N-00 TO 6 AP 803, CJT PQ RES D | True            | NO                       
100030 | BRR LA GRECIA MZ 34 CS 22                | True            | NO                       
100032 | EDF JOSELINO GOMEZ AP 401, CENTRO        | True            | NO                       
37    | CL 23 CR 37-25 TO 3 AP 1005, CJT TESALON | True            | NO                       
100033 | BRR VILLA SOFIA MZ C CS 10               | True            | NO                       
100034 | CR 40 CL 51-41 TO 5 AP 1A, CJT RES CIBEL | True            | NO                       
100031 | CR 24A CL 18-14, BRR SAN JOSE            | True            | NO                       
100013 | CL 22 CR 34-60B AP, BRR LAS AMERICAS     | True            | NO                       
100035 | CL 22 CR 35-27 PI 2, BRR LAS AMERICAS    | True            | NO                       
100036 | CR 18 CL 25-26 TO 7 AP 504, EDF ALAMOS D | True            | NO                       
100037 | CL 35 CR 33- 09 BLQ 2 APTO 201 BRR VILLA | True            | NO                       
----------------------------------------------------------------------------------------------------
Total Active Properties: 64
Eligible for New Mandate (No active mandate): 17
Ineligible (Already has active mandate): 47
